,Tweet
466,"#ModiWithFarmers
Social security for farmers
via NaMo App https://t.co/L8MS0rf8oh"
467,@rantsnbants Bundesliga fans just can’t accept that it’s a farmers league.
468,"#ModiWithFarmers
Credit access to farmers
via NaMo App https://t.co/3kv2ji7BEC"
469,@manpreet_94 @mArmysupporter @narendramodi @nstomar Same amount credited by khalistani aatankwadi to hijack protest of farmers
470,"We are farmers 

#FarmersDoneWithModiJumlas"
471,"#ModiWithFarmers
Boosting farmers income
via NaMo App https://t.co/1WEZCb3O6H"
472,"#farmers #protest #Delhi #Sports

BJP LEADER, BJP leaders and farmers scramble! https://t.co/8KuYXrRdql"
473,"A must read! Brilliant write up by the daughter of Admiral &amp;Lalita Ramdas
“Cattle Slaughter Bans Affect Farmers. So… https://t.co/aBCvbstHT4"
474,"@pbhushan1 Meanwhile fake farmers enjoying pizza party , dry fruits , golgappas , foot massagers , movies , burfis… https://t.co/lVv4S8XH4L"
475,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/28LY9jYIaf
476,@KanganaTeam This protest is not only about farmers this is for each and every citizen of this beautiful country. W… https://t.co/cfWpvIrDjI
477,"A man by the name of Takagi got into an argument with three farmers in the neighborhood, was soundly beaten out in the ﬁelds, and re(1/2)"
478,"""A look at how protesting farmers are preparing for the harsh Delhi winter""  https://t.co/PDs8VkbkLs"
479,Subscriber only: Manufacturers and machinery dealers have seen a surge in interest for tankers fitted with dribble… https://t.co/Elju2L3KWb
480,"@BJP4India @narendramodi @PMOIndia 

Few words about this, please😅.  if new Farm bills are in the favour of farmers… https://t.co/jD5CcoRcsg"
481,@rssurjewala @INCIndia First of all the so called “farmers representative” out on street disguised as protestors wh… https://t.co/pn5xVlNC5f
482,"🎅WE’RE OPEN CHRISTMAS WEEK🎅

Buddy’s Farmers Market will be open on Christmas Week at the times specified below!
St… https://t.co/eVEzhSbFYo"
483,"@OSchonrock @sTeamTraen Not really any harder to grow here outdoors than tomatoes.
You won't really find much Briti… https://t.co/P81wo37F8Q"
484,@david_ki_kahani we don't want any private company in Punjab and haryana because we know the all structure of the p… https://t.co/ONfiANRKuM
485,#farmers dying modi enjoying https://t.co/KYfE5DiBFf
486,@iamambujgautam @diljitdosanjh If it wasn't for the government that rushed into passing the laws then ignored the p… https://t.co/YAXbs2ayX3
487,"@logi_da @agrawalmanindra @ThePrintIndia @timesofindia Right. But these days, the roast of Godi Media is on a whole… https://t.co/KL1u4T6Gig"
488,@rssurjewala @INCIndia First of all the so called “farmers representative” out on street disguised as protestors wh… https://t.co/Twp4IvJdKr
489,"Support Indian Farmers
#FarmersDoneWithModiJumlas https://t.co/YrlRznfhaH"
490,"We are only as strong as we are united, as weak as we are divided.

Unity is strength💪🏽

Stand united with FARMERS… https://t.co/8waOI7BnYy"
491,PM Modi urges people to read e-booklet highlighting how agro-reforms help farmers https://t.co/nqku5FTxAQ via @Orange News9 : Latest News
492,@rssurjewala @INCIndia First of all the so called “farmers representative” out on street disguised as protestors wh… https://t.co/N3dyai4NY1
493,@narendramodi @nstomar First its your job to listen who are sitting at your job front. Ambani and Adanis are not fo… https://t.co/mLu4MhsPcY
494,"Right Wing : Communism is Dead.

Also Right Wing : All the Protesting Farmers are Communists not ordinary Farmers. https://t.co/631Bc2wPyy"
495,"@arupchoudhury98 @AmitShah @Drsubhassarkar First withdraw the Farmers bill &amp; help them. 

Then come &amp; think about Bengal."
496,@rssurjewala @INCIndia First of all the so called “farmers representative” out on street disguised as protestors wh… https://t.co/GuByMC48Tl
497,"It’s neither Hindus vs Sikhs nor Sikhs vs India. It’s farmers vs new farm bill.

@MahuaMoitraFans
#FarmersProtest https://t.co/14S4f7kD4z"
498,"With folded hands, PM Modi urges Opposition not to mislead farmers
https://t.co/d0nk84Ltnc

via NaMo App https://t.co/7Nang1LSFk"
499,"This fight is not between the #Farmers &amp; #Government , its actually between #aamaadmi &amp; the #capitalists .… https://t.co/6uBJlM6UBx"
500,@Multanii12 @ArunVis53451302 @AdaniOnline Yar u r not understanding. Leave alone state power..Can farmer forced to… https://t.co/zLRKvhnE4x
501,"@Jokittycat @ConciousVegan @QuornFoods https://t.co/IsyEqBBoQ2

the answer isn't the eat more animals. the answer i… https://t.co/1Ir8ObYySd"
502,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/bGULKymrFB
503,"@narendramodi

With folded hands, PM Modi urges Opposition not to mislead farmers
https://t.co/vpPgFuIadT

via NaMo… https://t.co/ZEDgFRECWH"
504,@ndtv @AmitShah Those who didn’t care Farmers fight for their livelihood in Delhi
505,"@AdityaKansili @KanganaTeam Also write how much each state produce and the earning also...
If you are putting numbe… https://t.co/mOsXivHsyv"
506,"@sachinsethi_ Modi, BJP-RSS and Their Dogs are Trying Everything Possible to Sabotage Farmers Revolution,  it's not… https://t.co/hCqFhrKEcU"
507,"Will bow my head in front of farmers, will discuss every issue, says PM Modi
https://t.co/5Pxy613rjw

via NaMo App https://t.co/4bEKjtGvkw"
508,@Akshay34434415 @TusharBirdi @SanyalSidharth @Kaillay_kaur Bicholia koi lutera nahi hai.. woh goverment licensed ho… https://t.co/UbbemhDc9S
509,Narendra Modi ji says farmers can sell their produce anywhere in the country But Shivraj Singh Chouhan ji says farm… https://t.co/Xt5B0Bvpgh
510,@paranjoygt Hmm. Now we know why the supreme leader is addressing farmers in Gujarat and MP. Because he can’t find… https://t.co/OLJcQfSnUG
511,"PM Modi says farmers a priority for NDA, offers dialogue to resolve issues
https://t.co/s7aUoUiogp

via NaMo App https://t.co/dlnGSx13do"
512,"@anbezhil12 in a lighter vein all these guys are farmers for owning huge amount of agricultural land ,even if encroached upon"
513,@ColTekpal Better join agitating farmers. It will save you money and give you peace of mind that once a soldier is… https://t.co/XGWd9gSdqg
514,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/HBLtSt7MHo
515,@rssurjewala @INCIndia First of all the so called “farmers representative” out on street disguised as protestors wh… https://t.co/rCBKEXm8UV
516,@David19531501 @chrisgregson123 @mindedmusically @tomhingleymusic @Gazza41 @julieAn34464628 @RuddsBunny… https://t.co/1TrNW3LUcj
517,who is dallon ka gulam in this newsitem-84 ki qayamat congi ko jitane walon ko kaun samjha sakta hai?Diljit Dosanjh… https://t.co/DXDL3AGo0M
518,"@TimesNow @PMOIndia 
1.We question GOI how huge subsidies being given to farmers exclusively in punjab&amp;haryana
2.wh… https://t.co/Jxq4POHUlb"
519,"Farm laws have not been introduced overnight: PM Modi tells MP farmers
https://t.co/p2ok8Qr5Pt

via NaMo App https://t.co/4iUOAwiplB"
520,biggest protest in world history....... DONT BITE THE HAND THAT FEEDS YOU.... STAND WITH FARMERS....… https://t.co/OK9F56sGkP
521,"Support Farmers
#FarmersDoneWithModiJumlas https://t.co/Q7DSmnIDGa https://t.co/AAz4NaQ3WW"
522,"@RKRadhakrishn How shameless can one get???
Instead of meeting the demands of thousands of farmers, he does all the… https://t.co/vxCpN1NK5T"
523,Only for farmers not for dalals who have opened their shops in name of kisan protest in India US Canada UK and else… https://t.co/VH6Q0hGixs
524,"With folded hands, PM Modi urges Opposition not to mislead farmers
https://t.co/IdQvzC2x67
@PMOIndia @narendramodi… https://t.co/vO3t15cqgv"
525,"‘You can keep all the credit’: PM Modi attacks opposition over farmers’ protests
https://t.co/p184SUSx0K

via NaMo… https://t.co/waDkMJQ4bv"
526,"Please friends sign this petition 🙏🏻🙏🏻🙏🏻🙏🏻

Support farmers 🙏🏻🙏🏻 @mandeep1112222 @AmanBrar3001 @mnprtsandhu34… https://t.co/FeEGNnX1vy"
527,@htTweets The backing Farmers too have Rights to protest as you have but your actions are condemnable as you broke… https://t.co/ArOFBTUOhu
528,Just posted a photo @ Farmers Service Committee https://t.co/1XSWvBiOnW
529,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/VDGOn0eM35"
530,"As farmer protests against new farm laws entered the 24th day, Prime Minister Narendra Modi on Saturday said reform… https://t.co/JhN0RcXt6J"
531,@TacitusKillgore @binarysum @_Kacperrr @ThurstoLFC @btsportfootball @FIFAcom Winning the treble in a farmers league… https://t.co/uESPIL3InS
532,"New farm laws will free the farmers, help increase their income
https://t.co/KxXWPBCDcp

via NaMo App https://t.co/JUgujlcP7u"
533,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/eifYHq36Bn
534,"@ShashiTharoor Question is, why ? It's for all those parties who ruled this great nation. Why our farmers were not uplifted??"
535,@KanganaTeam Diljit and priyanka chopra are not alone who came in solidarity with farmers protest. Stop posting suc… https://t.co/PpBlZUuGMT
536,@dirty_anjana @reji_peter And shame on those who still trend his death as murder but they don’t have the decency to stand with farmers
537,Settlers from the illegal settlements of Mitzpe Yair and Susya assaulted farmers and shepherds near Khirbet al-Batm… https://t.co/cC5dlYBTer
538,"Walking the farmers market, Making good food choices #Fitness #healthy @achievemints @achievement"
539,"Will bow my head in front of farmers, will discuss every issue, says PM Modi
https://t.co/eRbbzSBAtZ
@PMOIndia… https://t.co/qs9gQSZwCv"
540,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/z3JIHRu0qc
541,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.

#FarmersBill… https://t.co/KdA1qBYPCN"
542,Just posted a photo @ Royal Arsenal Farmers' Market https://t.co/uloVxLb6QG
543,Former Union minister and senior BJP leader Birender Singh has extended his support to the ongoing farmers’ agitati… https://t.co/ERmHueJ4FW
544,"@kaushikcbasu How can you, as an economist, make false statements that APamac structure is being dismantled? Everyo… https://t.co/bxzJLGjuxv"
545,"@narendramodi
#FarmerProtestHijacked
How long you can make Farmers to walk with your hand. Make them Grow… https://t.co/FIeMh7gF2X"
546,@Farmerprotest20 @KirtanHora @diljitdosanjh @navpreetpabla Yes ..his clear communal speech and demeaning words on H… https://t.co/p83h4VWCnu
547,"@MSN not even a single news covered today about Farmers protest. People who talk about 4th pillar of democracy, jus… https://t.co/epa15CgrpO"
548,"@pariharjagdeep9 @KanganaTeam Um. Commission Agents can never be friend of Farmers that is Commonsense.
Govt. has i… https://t.co/wvfQnP2XNS"
549,"In old days, Bengali farmers used to collect counch shells and gift them to their wives. Later they started to powd… https://t.co/GWlyac84LG"
550,"Woes of farmers agitating against new farm laws | Ground report
https://t.co/KAuNdltvNI https://t.co/EaNCcmUwSB"
551,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/2qgMDCQS5u
552,"@KanganaTeam I support Kangana for this. Again I am telling you, Kangana has not called farmers Khalistani, she sai… https://t.co/CoaYRI8szR"
553,"Farmers Protest :  Farmers' warning to the Center, if the demands are not met, we will change the name of Rajpath t… https://t.co/C0LEPafBdR"
554,Interestingly now the #FarmersProtests is not between #Farmers vs @narendramodi but INDIA VS @narendramodi AND… https://t.co/1BQmyp0pae
555,"PM Modi says farmers a priority for NDA, offers dialogue to resolve issues
https://t.co/ZkLxARgtrr
@PMOIndia… https://t.co/ybb0NsESU2"
556,"CAA protest/riots happened because Ms are angry that they don't have veto over Hindus anymore similarly this ""farme… https://t.co/mfhazBWYx6"
557,@paranjoygt @SaketGokhale And BJP will say they are farmers too.
558,@Fussy_Ca And his very close aid and mastermind of this gang Swara is absconding and reportedly been seen in farmer… https://t.co/S4E600NU5z
559,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/zHU00eiCC6"
560,Very good https://t.co/LkVdBtbK4C
561,#PMOIndia #narendramodi #nstomar #JPNadda #JPNaddaOfficial #JPNaddaOffic Best way to convince agitating farmers is… https://t.co/XRrTqVrBFx
562,"Post Edited: SC, Centre should re-frame farm laws rejected by farmers, s https://t.co/khRl6Z3qx3 https://t.co/OVRrjyMjpG"
563,"@dravirmani Respected Sir, can you clarify one question, does farmers allowed to sell at MSP outside Mandi. Just on… https://t.co/n6KX3U3Mxs"
564,"@OpIndia_com Protesting farmers might be calling their family members 'aajao kuch din yaha mela dekh kr jana, mast… https://t.co/t4ApQpvWZR"
565,@AadityaN_28 She's not even on tour ffs
566,"His bio says ""Better not misinformed"" and yet this chap thinks Adani started buying Agri-produce from farmers only… https://t.co/tuI6uXbLr9"
567,"Farm laws have not been introduced overnight: PM Modi tells MP farmers
https://t.co/ifRxxrOrZk
@PMOIndia… https://t.co/FFYlZM7dVz"
568,"One monster eating at “farmer home” in Bengal, another evil beast telling blatant lies to “farmers” in Gujarat. Nei… https://t.co/jeOK2ynhmd"
569,"@ReallySwara Kahin bhi... kabhi bhi... Photo op ho gaya ab ghar jaaa...., farmers are capable to resolve their issues with govt."
570,Winter Park Farmers’ Market today from 7:00 a.m. to 1:00 p.m.
571,"@CNNnews18 @Sougata_Mukh @AnushaSoni23 There is farmers waiting for modi and shah......
People of bjp is nothing et… https://t.co/QRAaUVAoll"
572,How digital disruptions in agritech are delivering sustainable economic and social benefits to smallholder farmers… https://t.co/8e3RkdjyfG
573,"@narendramodi
#FarmerProtestHijacked
When we will work on NDA agenda. Farm laws have not been introduced overnight:… https://t.co/yJV56EDeVu"
574,And farmers still believe them..... This cannot be farmers protest this is driven by these liars and anti national… https://t.co/Rrfx6HcpRn
575,Farmers protest #FarmersDoneWithModiJumlas https://t.co/7FnMxwMRHr
576,"‘You can keep all the credit’: PM Modi attacks opposition over farmers’ protests
https://t.co/688SFs3oDB
@PMOIndia… https://t.co/MCYk6PFr7t"
577,"#GeneralStrike
Bharatiya Janata Party has implemented new amendments to labor codes and introduced farm bills that… https://t.co/Xc31GCPPqE"
578,@twtselma Ain't that the same type of gloves that farmers use on cattle?
579,@Paul25318818 Minford predicted this for the Leave Idiots. He also predicted that farmers would go bust because we… https://t.co/jGOpp31Bhk
580,@Haggis_UK This happened fairly regularly over decades depending on how angry French farmers were or maintaining Eu… https://t.co/7X8g47iVEM
581,@sakshijoshii I support Indian farmers
582,@TwiterPeHu @sarahnfjk Are you proud of how your government is treating your farmers and the people in Kashmir?
583,@capt_amarinder @invest_punjab isse acha hn CM shab farmers ki sunno...
584,"New farm laws will free the farmers, help increase their income
https://t.co/1gci9cqzpY
@PMOIndia @narendramodi… https://t.co/Mqcku94jgf"
585,@Pxfarms Efficiency saves cost and utilises large machinery. Large fields enable this. If ELMS structures itself to… https://t.co/s3nJFhTUwk
586,Farm Advisor VACANCY. Help deliver the excellent @HantsIWWildlife #wilder2030 strategy. Farmland will be core to th… https://t.co/yUz6GWqfNt
587,"Not wearing mask in public to attract ₹2,000 fine in Delhi

#FarmersBill #FarmersDoneWithModiJumlas… https://t.co/FenCydhw48"
588,"@narendramodi
1971 Cong asked #GaribiHatao . @BJP4India
Is serious on Manifesto. For others it is a page for next 5… https://t.co/Sg4MsU0ySj"
589,@Multanii12 @ArunVis53451302 @AdaniOnline Govt has given higher msp already this year.. And govt is giving 6000 too… https://t.co/oebqEgLL8y
590,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/WAF4BVIjgv"
591,Support Farmers Always https://t.co/9qeNGWV3AK
592,"@paranjoygt @SaketGokhale Nothing else was expected

Naive are those, who believed that pardhan parcharak would be meeting real farmers"
593,@narendramodi Most of farmers have no idea about these farm bills but they don’t even want to know. They simply hate Hindus and you dear PM
594,@annamalai_k @narendramodi 130crores people peacefully running their life even Covid19 attack. Basic needs are fulf… https://t.co/uXVFwlKqth
595,@SikanderKahlon @IAMDJREMINISCE @UK51NGH @JJassiOfficial @SherePanjabUK hate to say it but first time ever I am gla… https://t.co/x6HCLWtlC5
596,AND THEY SAY #FARMERS LOVE THEIR #ANIMALS!  #BS! https://t.co/yP5nbefh3q
597,@nstomar You are totally wrong.......these bills only benefits for corporates not for the welfare of farmers 🏴🏴
598,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/l6kdwZTy8J
599,"@rahulkanwal @narendramodi Mr. @rahulkanwal what do you mean by  ""those opposing new laws"", can't you say farmers,… https://t.co/ipFY06YvrK"
600,"India request you @narendramodi ,@PMOIndia to know the problems of the farmers and try to solve them because the so… https://t.co/2DWxzDy3QS"
601,@KanganaTeam Come and spend 2 days nd nights with protesting farmers at delhi u will get a better view about them a… https://t.co/VPeYP9uiK9
602,"Google's parent company have developed a robot that roams farmers' fields, giving them data needed to make decision… https://t.co/AWhlPXxpQr"
603,@DINAMANI Are they really Farmers or Middlemen ?
604,"🔴As per the #farmers, they are forced to take their own life because they are not getting the remunerative price of… https://t.co/JUL9ySswW0"
605,https://t.co/wfkIWArrjY “Farmers from Sunnhordaland went by sailboat every autumn to sell potatoes in Bergen. For h… https://t.co/qtc8c7AcQ3
606,josh can have a little bag of nice mushrooms from the farmers market as a treat ?? https://t.co/1roP5SOCRy
607,"If farm sector reform is intention, as stated by govt, then it needs a fuller discussion, covering all issues, incl… https://t.co/BbVeIBhLI8"
608,@FlorenceWoodle1 @DavidDavisMP Ask farmers if they can get UK workers to pick spuds. The reason you buy cheap veg i… https://t.co/yER04bM0u2
609,The anti-cow slaughter legislation is likely to have far-reaching adverse economic implications on dairy farmers wh… https://t.co/BWvSqV8VKO
610,#Farmers are fighting for the last three months in the cold. The Modi government is not taking back the black laws.… https://t.co/OKMq5TNsbT
611,"@krazyphoton @PravinSawhney Modi only made Indian miserable. Demonitization, CAA+NRC, COVID19 lockdown and now farm… https://t.co/oiFp9EmXLt"
612,@Ghoda88497189 @thewire_in How embarrassing for you that you don't even know the laws are against the constitution… https://t.co/NQJMZxgNvy
613,"After Nigerian society were critical about the uncounted number of farmers beheaded, Nigerian military went for scr… https://t.co/jsYb6ZrGT7"
614,@Kisanektamorcha This pathetic piece of legislation is a reflection of neoliberalism policies. These policies are u… https://t.co/n7mb80cIRn
615,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/UuRwHINKb1"
616,"@tanayasharma25 @diljitdosanjh Kbhi kbhi kichad ko saaf krne k liye haath gndey krne padte hai, he is doing right b… https://t.co/q6ko7g546C"
617,"@KanganaTeam I don't think so any Indian politician or a terrorist will suggest a protest in a peaceful way....
Don… https://t.co/on3Zts8SGt"
618,The Irish Farmers Association and National Farmers' Union are appealing to Brexit negotiators to try and reach a de… https://t.co/nEApAeaKDl
619,"Will bow my head in front of farmers, will discuss every issue, says PM Modi https://t.co/zWtDpnPSmK"
620,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/p2EJwcxLcr"
621,@sandeep33654692 @BhagwantBs @lkular001 @diljitdosanjh Most farmers welcoming it...yeah according to BJP
622,"@narendramodi
But Dalals are crying at Delhi Borders 
#FarmerProtestHijacked
New farm laws will free the farmers, h… https://t.co/L1zPpDJkZ0"
623,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/VKU9D0enVh
624,@KanganaTeam Kon sa Khalistan protest? The farmers r protesting for the farm bills which r against them and woh dud… https://t.co/RV7bmtJeCT
625,"@MacroCRG $YOP will shake the #DeFi ecosystem

@YOPfi connects you to the farmers market using one seamless mobile… https://t.co/pfDSik6zD3"
626,@cottonfarmgirl Stupid  people   all for likes ffs grow the fuck up  theirs  enough  accidents  with out f head doi… https://t.co/nTmhQ08pSb
627,"The business world should contribute in developing modern storage facilities, cold storage &amp; setting up new food pr… https://t.co/PdW5lkBTdw"
628,"@ParinRM Messi scores goals against Brazil, Uruguay etc in friendly games. Ronaldo scored against Lithunia, Latvia… https://t.co/ADzu81rcxZ"
629,we support our farmers #KisanokoInsafDoSupremeCourt #FarmersBill #FarmersProtests #FarmersWithModi
630,"@davethewhig @scotgov You mean that time when Westminster withheld farmers EU money. Yes, we remember that. 

https://t.co/isNAgug3Hf"
631,"As I see “leaders” at the #FarmersProtest, the only picture which comes to my mind resembling these “Leaders Of Far… https://t.co/w1HEGPKnID"
632,@KanganaTeam @diljitdosanjh You are rich enough to travel to Paris &amp; England to buy a single dress but we are not s… https://t.co/mWHF79uhP5
633,@Multanii12 @ArunVis53451302 @AdaniOnline Can u show where it is written farmer has to sell to pvt player only. is… https://t.co/jY5IGEbyli
634,@shrinivas_pande @Bhattacharyya31 @noneghjgj @TruthWins476 @KanganaTeam I just hope the farmers are safe and get wh… https://t.co/fGHIzz5STS
635,@KanganaTeam Kangana I admired you earlier but I’m really surprised how you can say that farmers are manipulated?… https://t.co/1wTZIzQ3gt
636,"Modi Destroyed INDIA ❌
i support Farmers 
 
#FarmersDoneWithModiJumlas
#farmersrprotest"
637,The lies has come over the platform over no.of times like that of zumalas and same thing is repeated in farmers ord… https://t.co/UdYf3oCfts
638,@KellyTosh1 @bronactitley An English girl I worked with years ago brought three farmers a chip each on a plate when… https://t.co/fbsprK1gKa
639,"@narendramodi We Farmers reject that letter , take back your unconstitutional Bills ."
640,"This is for those that say the bills are for farmers benefits...horrible!
#FarmersDoneWithModiJumlas https://t.co/5N3pJ9MHiK"
641,"Largest protest in human history-farmers' crisis
https://t.co/7xki5zgmP5"
642,@BhavikaKapoor5 @Pawankhera @PMOIndia can u pls explain y u r fearing to talk with Farmers who r protesting. In BJP… https://t.co/BDDwQRWE7g
643,@wildforest_matt Thriving because they can eat up to 1kg of grass per day and growing grass is one thing that farme… https://t.co/MYswLG4qJG
644,@ZeeNewsEnglish @ArvindKejriwal What about the farmers protesting at your door steps Mr Kejriwal you support them y… https://t.co/fi7PTF5bCv
645,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/PTomWZkUkl
646,"@bluestone_leo @narendramodi @RahulGandhi Very simple it's not ,,,U cant revolutionise the,country on the grave of… https://t.co/TSDjB0quEp"
647,@AjMaan10 @GlobalBC @NeetuGarcha Everybody in India got 15 lakhs in bank account? You still think farmers will trus… https://t.co/j4koPftoqW
648,@SharanKaurSahu @ABPNews @Ajatikaa Sharan kaur 😀😀😀😀😀 tu v check kar lai farmers big gun then. U will definitely lik… https://t.co/3uKtlxKkko
649,Stand with farmers https://t.co/JcoZGoR9MT
650,the basis of the game is a lil genderless goblin who loves making maps and exploring and works at a farmers market… https://t.co/mxvnzXoz4C
651,"@PMOIndia @narendramodi
@JPNadda  @blsanthosh @ArunSinghbjp @myogioffice @BJP4India @amitmalviya @AmitShah… https://t.co/UpdhbdvGhf"
652,@BlackYellow This club is a shambles. Definition of a farmers league...
653,"Indian police attempting to  stop Gujrat Farmers from joining the protest .
 #FarmersDoneWithModiJumlas https://t.co/w43DBvZHk6"
654,"First interview  our brother @sukh_slatch after resignation from BJP IT CELL post.

#isupportfarmers 
(Part 1)… https://t.co/LymuN6pa6H"
655,@sagarikaghose It’s Pressitutes in Lutyens media who are spreading misinformation &amp; propaganda to make it appear as… https://t.co/ZcdZqxtNb9
656,This is From PM Narendra Modi Govt letter to Tamil Nadu Farmers 1/2 https://t.co/geCUfmayeH
657,Don’t under estimate the power of farmers #FarmersDoneWithModiJumlas #supportfarmers #Farmers https://t.co/MHoo5PZzpn
658,"Meetings, amendments, fake assurances and discussions... farmers are done with the Jumlas.
The only demand is ‘take… https://t.co/hV7ECmEMZX"
659,@PappuPa13675796 @MuditSh13791339 @TruthWins476 @KanganaTeam lol...you don't even know what the system was...in ord… https://t.co/t3CefJJK5F
660,"@kaushikcbasu Can you please explain, how it will hurt small farmers ? @PMOIndia @narendramodi @AmitShah @republic… https://t.co/BeUy8WQ7cu"
661,"#farmersrprotest : Unimpressed Farmers Call PM Modi’s Speech ‘Misleading’, ‘Bundle of Lies’ https://t.co/GcqPB5mJTd"
662,"Farmers are getting more support day by day .The Godi Media doesn't want to show or cover their news.
The govt &amp; go… https://t.co/LzpF4m93zg"
663,"#PUCA urges #AICTE to extend cutoff date of Admissions in #Punjab amid #FarmersProtests

https://t.co/wJeeK7ETym"
664,Pastoral's standing in solidarity with farmers movement #farmersprotest @ILCAsia https://t.co/lLh1mRSzxb
665,"Birender Singh, ex-minister and BJP leader, breaks ranks to back farmers https://t.co/nVlkgOYn27 via @IndianExpress"
666,@Jerry64992245 @ArunVis53451302 @AdaniOnline if govt really think about farmers they should have added 500 rs to ms… https://t.co/ATqihcbOZf
667,"Giving adequate income support to farmers, the @narendramodi govt has increased pulses procurement to 6115% from 20… https://t.co/4WrD5TgPpC"
668,"PM Modi says farmers a priority for NDA, offers dialogue to resolve issues https://t.co/Ook0d2nmVC"
669,@Othenan77 @56Dtweets harden the farmers stances.
670,"@PMOIndia @narendramodi
@JPNadda  @blsanthosh @ArunSinghbjp @myogioffice @BJP4India @amitmalviya @AmitShah… https://t.co/9awFRx4Kcc"
671,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/2X724BXGjd
672,@KanganaTeam @diljitdosanjh Those people who have to travel almost 10 times from home to mandis to transport grains… https://t.co/cTPCXEyemm
673,"@AsianetNewsSN good job 
https://t.co/O5woTGG5Tm #Farmers"
674,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/gTSWJYdNTK
675,"#मर_रहा_किसान_जागो_प्रधान
I support farmers...
No farmer No food 
@RahulGandhi @RiyaCho49963990 @narendramodi… https://t.co/L2RgHrNjry"
676,Hello To support Farmers till last breath I fight MODI gujaratis and u must also..All gujaratis is terro https://t.co/ORG0G6YBnU
677,"@Iyervval Normal Farmers r not afraid of free market, I think it’s mandi employees &amp; politics in mandi who is playi… https://t.co/OZsFaVg89u"
678,@mkatju sir please use madhumakkhi instead of machchar. farmers are like honey bees giving us honey rather than mos… https://t.co/5uXSa2sYxe
679,@Farmerprotest20 @KirtanHora @diljitdosanjh @navpreetpabla No he won't be ..because he can say whatever he can ..th… https://t.co/iGMXDOcyvj
680,@narendramodi @nstomar Nothing new in letter.we demanded withdrawal of three bill and legal law for MSP.  Private p… https://t.co/u4m8Yo0jM2
681,"@sardesairajdeep @MamataOfficial You could have tweeted a lot of Fact Check, clarifying farmers protest but then th… https://t.co/z9vP5sd48q"
682,"@Michaelmcfc20 @TrollFootball First, beat those Lions in the ""farmers League"". 🤣🤣🤣 https://t.co/cN2dY5cuco"
683,"@PMOIndia @narendramodi
@JPNadda  @blsanthosh @ArunSinghbjp @myogioffice @BJP4India @amitmalviya @AmitShah… https://t.co/g04t0hCv8t"
684,@narendramodi @nstomar Go ahead with farm reforms full throttle!! Some punjab farmers have doubts and questions. Clarify and move on.....
685,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/A1kR6vHDir
686,"#Column | Farmers prove their resilience, but need to optimise outcomes

(Suresh Kumar writes)… https://t.co/rPGF8KduLI"
687,"@ValGal1212 Quote ""yes, potato is carbs&amp;starch, BUT it's a vegetable&amp; that makes it ok. It's got fiber (does it? Id… https://t.co/8wAUI1EJXu"
688,Modi with farmers - what a joke #ModiWithFarmersIsAJumla #FarmersDoneWithModiJumlas https://t.co/dqedavY0H4
689,@AnirudhBhatta10 @AjayMahawarBJP @RubikaLiyaquat @ABPNews @SanjayAzadSln seeeeee.... you yourself are telling that… https://t.co/frNwnElC5A
690,"@ndtv @AmitShah actually black day for sankranti. It is festive time for farmers. today, another assault on farmers… https://t.co/vC5eF3p2yF"
691,"@PMOIndia @narendramodi
@JPNadda  @blsanthosh @ArunSinghbjp @myogioffice @BJP4India @amitmalviya @AmitShah… https://t.co/E83yVqg3VJ"
692,@narendramodi @nstomar Go ahead with farm reforms full throttle!! Some punjab farmers have doubts and questions. Clarify and move on.....
693,@narendramodi @nstomar Go ahead with farm reforms full throttle!! Some punjab farmers have doubts and questions. Clarify and move on.....
694,"@PMOIndia @narendramodi
@JPNadda  @blsanthosh @ArunSinghbjp @myogioffice @BJP4India @amitmalviya @AmitShah… https://t.co/Mk4Vv9lktC"
695,"@yourboyHEMANT @Bhattacharyya31 @noneghjgj @TruthWins476 @KanganaTeam Let it be....We are not experts, those who ar… https://t.co/1olZ5CXn7P"
